Name,Date,Score
Player 1,29-02-2020 17:52,40
Player 1,29-02-2020 17:52,60
Player 1,29-02-2020 17:52,30
Player 1,29-02-2020 17:52,40
Player 1,29-02-2020 17:54,60
Player 1,29-02-2020 17:54,100
Player 2,29-02-2020 17:54,0
Player 2,29-02-2020 17:54,60
Player 1,29-02-2020 17:54,30
Player 2,29-02-2020 17:54,30
Player 1,29-02-2020 17:54,50
Player 1,29-02-2020 17:55,40
Player 2,29-02-2020 17:55,40
Player 1,29-02-2020 17:55,60
Player 2,29-02-2020 17:55,50
Player 1,29-02-2020 17:56,40
Player 1,29-02-2020 17:57,50
Player 2,29-02-2020 17:57,40
Player 2,29-02-2020 17:57,100
Player 1,29-02-2020 17:57,80
Player 1,29-02-2020 17:58,100
Player 2,29-02-2020 17:59,20
Player 2,29-02-2020 17:59,30
Player 1,29-02-2020 17:59,60
Player 1,2020-02-29 18:19:58,40
Player 1,2020-02-29 18:20:09,40
Player 1,2020-02-29 18:20:17,100
Player 1,2020-02-29 18:20:24,50
Player 1,2020-02-29 18:22:35,80
Player 1,2020-02-29 18:22:37,20
Player 1,2020-02-29 18:23:01,20
Player 1,2020-02-29 18:23:12,0
Player 1,2020-02-29 18:23:18,100
Player 1,2020-02-29 18:23:23,20
Player 1,2020-02-29 18:23:29,10
Player 1,2020-02-29 18:23:37,0
Player 1,2020-02-29 18:23:53,30
Player 1,2020-02-29 18:24:00,30
Player 1,2020-02-29 18:24:11,30
Player 1,2020-02-29 18:24:44,30
Player 1,2020-02-29 18:25:07,40
Player 2,2020-02-29 18:25:17,30
Player 2,2020-02-29 18:25:45,20
Player 2,2020-02-29 18:26:09,10
Player 2,2020-02-29 18:26:53,20
Player 2,2020-02-29 18:27:05,10
Player 2,2020-02-29 18:27:08,20
Player 2,2020-02-29 18:27:12,30
Player 2,2020-02-29 18:27:15,30
Player 2,2020-02-29 18:27:19,40
Player 2,2020-02-29 18:27:25,10
Player 2,2020-02-29 18:27:33,10
Player 2,2020-02-29 18:27:42,20
Player 2,2020-02-29 18:27:46,10
Player 2,2020-02-29 18:27:56,0
Player 2,2020-02-29 18:28:15,0
Player 2,2020-02-29 18:28:28,0
Player 1,2020-03-02 11:37:51,40
Player 1,2020-03-02 11:38:01,10
Player 1,2020-03-02 11:39:18,60
Player 1,2020-03-02 11:39:26,80
Player 1,2020-03-02 11:39:29,60
Player 1,2020-03-02 11:39:44,30
Player 1,2020-03-02 11:39:49,20
Player 1,2020-03-02 11:39:58,100
Player 1,2020-03-02 11:40:07,10
Player 1,2020-03-02 11:40:14,20
Player 1,2020-03-02 11:40:42,40
Player 1,2020-03-02 11:40:57,0
Player 1,2020-03-02 11:41:53,20
Player 1,2020-03-02 11:42:05,50
Player 1,2020-03-02 11:43:09,10
Player 1,2020-03-02 11:43:19,10
Player 1,2020-03-02 11:43:49,60
Player 1,2020-03-02 11:44:14,50
Player 1,2020-03-02 11:46:01,10
Player 2,2020-03-02 11:46:16,30
Player 1,2020-03-02 11:46:24,20
Player 2,2020-03-02 11:46:29,100
Player 1,2020-03-02 11:46:36,40
Player 1,2020-03-02 11:47:59,10
Player 1,2020-03-02 11:48:04,60
Player 1,2020-03-02 11:48:11,60
Player 1,2020-03-02 11:48:36,20
Player 2,2020-03-02 11:48:43,40
Player 1,2020-03-02 11:48:49,20
Player 2,2020-03-02 11:48:55,60
Player 2,2020-03-02 11:48:59,80
Player 2,2020-03-02 11:49:06,50
Player 2,2020-03-02 11:49:10,30
Player 2,2020-03-02 11:49:16,30
Player 1,2020-03-03 15:40:29,40
Player 1,2020-03-03 15:41:04,0
Player 1,2020-03-03 15:45:19,50
Player 1,2020-03-03 15:48:15,40
Player 1,2020-03-03 15:48:55,80
Player 1,2020-03-03 15:50:21,10
Player 1,2020-03-03 15:51:40,10
Player 1,2020-03-03 15:56:52,40
Player 1,2020-03-03 15:57:15,40
Player 1,2020-03-03 15:57:23,30
Player 1,2020-03-03 15:57:50,40
Player 2,2020-03-03 15:58:04,30
Player 1,2020-03-03 16:01:06,10
Player 1,2020-03-03 16:01:10,20
Player 2,2020-03-03 16:01:25,40
Player 2,2020-03-03 16:01:55,80
Player 1,2020-03-03 16:02:09,50
Player 1,2020-03-03 16:02:35,50
Player 1,2020-03-04 10:27:06,0
Player 1,2020-03-04 10:27:20,10
Player 1,2020-03-11 22:28:01,30
Player 1,2020-03-11 22:28:08,20
Player 1,2020-03-11 22:32:02,20
Player 1,2020-03-11 22:32:20,30
Player 1,2020-03-11 22:32:26,0
Player 1,2020-03-11 22:35:29,0
Player 1,2020-03-11 22:35:32,0
Player 1,2020-03-11 22:35:42,0
Player 1,2020-03-11 22:35:46,10
Player 1,2020-03-11 22:37:16,30
Player 1,2020-03-16 18:41:15,80
Player 1,2020-03-16 18:41:35,40
Player 1,2020-03-16 18:42:53,30
Player 1,2020-03-16 18:43:02,0
Player 1,2020-03-16 18:44:14,40
Player 1,2020-03-16 18:45:16,10
Player 1,2020-03-16 18:45:43,30
Player 1,2020-03-16 18:46:20,10
Player 1,2020-03-16 18:47:01,40
Player 1,2020-03-16 18:47:18,30
Player 2,2020-03-16 18:47:51,10
Player 2,2020-03-16 18:47:56,60
Player 2,2020-03-16 18:47:59,10
Player 1,2020-04-07 16:40:03,0
Player 1,2020-04-07 16:40:05,20
Player 1,2020-04-07 16:45:07,20
Player 1,2020-04-07 16:45:43,10
Player 1,2020-04-24 09:42:42,20
Player 1,2020-04-24 09:44:08,0
Player 1,2020-04-24 10:07:49,10
Player 2,2020-04-24 10:09:08,30
Player 2,2020-04-24 10:09:32,50
Player 2,2020-04-24 10:09:49,50
Player 1,2020-04-24 12:49:22,50
Player 1,2020-04-24 12:50:22,20
Player 1,2020-04-24 12:50:44,100
Player 1,2020-04-24 12:50:54,50
Player 2,2020-04-24 12:51:29,50
Player 2,2020-04-24 12:51:42,60
Player 1,2020-04-24 12:55:20,80
Player 1,2020-04-24 12:56:03,40
Player 1,2020-04-24 12:56:19,50
Player 1,2020-04-27 18:30:19,60
Player 1,2020-04-27 18:32:41,40
Player 2,2020-04-27 18:33:35,20
Player 2,2020-04-27 18:34:26,0
Player 2,2020-04-27 18:34:28,0
Player 1,2020-05-14 20:57:49,20
Player 1,2020-05-14 20:58:43,20
Player 1,2020-05-14 20:59:48,0
Player 1,2020-05-14 20:59:56,30
Player 1,2020-05-14 21:00:08,30
Player 1,2020-05-14 21:00:11,20
Player 1,2020-05-14 21:00:12,30
Player 1,2020-05-14 21:00:18,60
Player 1,2020-05-14 21:00:20,20
Player 1,2020-05-14 21:00:26,50
Player 1,2020-05-14 21:00:33,30
Player 1,2020-05-14 21:00:37,10
